"GeneSymbol","Median","HL","LASSO","BestModel"
"HADH",8096.03727700482,7977.94438811369,8060.05924911022,"HL"
"HADHA",8568.1329453612,8515.63321405732,8619.94996500765,"HL"
"HADHB",8668.41837964834,8598.38156792549,NA,"HL"
"HAGH",7692.37770699997,7453.57832230649,7481.15162246854,"HL"
"HARS1",8121.13975633523,8005.2362836271,8011.14708027114,"HL"
"HARS2",6751.6913084827,6639.56689181365,6707.76474090527,"HL"
"HAT1",7510.79432695435,7464.32474741281,7441.24283961053,"LASSO"
"HAUS1",7360.33290289656,7285.09229485572,7207.03108911647,"LASSO"
"HAUS4",5170.8294823425,5172.86245883937,5202.07458922212,"Median"
"HAUS6",5867.51813457072,5741.7624348815,5722.00286737972,"LASSO"
"HAUS8",6423.27942166521,6393.37632502799,6403.12030928557,"HL"
"HAX1",6189.94322517266,6134.27315044078,6149.00035675913,"HL"
"HBS1L",7745.65142186303,7635.7738637195,7610.11709300355,"LASSO"
"HCCS",6967.32152976112,6866.94597657706,7093.09359666835,"HL"
"HCFC1",7504.1020774329,7436.9929620409,7551.86823757255,"HL"
"HDAC1",7103.10166124361,7079.26842678631,7245.05930124592,"HL"
"HDAC2",6900.12117438446,6839.24192392109,6934.48046914949,"HL"
"HDAC4",6534.46322323666,6397.73016906648,6366.83012326066,"LASSO"
"HDAC5",7130.67481076577,7054.8038493629,7015.52550592286,"LASSO"
"HDAC7",5565.39958339657,5396.89431190384,5394.62177008158,"LASSO"
"HDDC2",7095.75061398223,6985.81056674635,6929.46094363971,"LASSO"
"HDGF",9058.22440449884,8969.94504021103,8941.49291695789,"LASSO"
"HDGFL2",7133.32229015477,7029.74136588005,NA,"HL"
"HDGFL3",7948.05565146465,7895.7437502504,7877.19241827222,"LASSO"
"HDHD2",7156.52401799747,6964.85734868933,6953.85093928018,"LASSO"
"HDHD3",8268.41691010819,8080.20066704675,8078.20404711483,"LASSO"
"HDHD5",7124.91288891767,6988.70820252115,6999.93987694704,"HL"
"HEATR1",7701.95406451551,7705.22157503965,7838.52130001,"Median"
"HEATR3",6996.28151135302,6943.70578048407,6970.48014183526,"HL"
"HEATR5B",4997.44046827621,4986.2365816254,4972.38584775799,"LASSO"
"HEATR6",4562.22590862929,4463.89379044678,4340.78890891294,"LASSO"
"HEBP1",7971.52040990921,7686.24713051695,7725.7533751413,"HL"
"HEBP2",7204.44358308389,7146.07646783257,7235.16569760917,"HL"
"HECTD1",6926.8887859958,6902.49454790148,6931.56397218026,"HL"
"HELLS",7217.38683580913,7163.33363170142,7187.84033858723,"HL"
"HERC4",6070.9975417001,5928.34091749216,5971.08393540452,"HL"
"HEXA",7819.81769130784,7670.5275379732,7665.81224966702,"LASSO"
"HEXB",8007.97891711138,7816.2682785568,7820.32771738344,"HL"
"HEXIM1",7393.4465703161,7282.92433414692,7293.75091332795,"HL"
